City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dangriga,BZ,16.9692,-88.2321,84.97,72,92,9.93,overcast clouds
80,Lompoc,US,34.6391,-120.4579,63.12,73,0,6.91,clear sky
81,Victoria,HK,22.2855,114.1577,59.25,74,15,3.0,few clouds
82,Madison,US,34.7334,-86.5667,34.77,93,100,3.0,overcast clouds
83,Georgetown,MY,5.4112,100.3354,78.89,93,40,3.0,scattered clouds
84,Qaanaaq,GL,77.484,-69.3632,-7.08,62,86,8.95,overcast clouds
85,Saskylakh,RU,71.9167,114.0833,-7.92,99,100,4.25,light snow
86,Jamiltepec,MX,16.2833,-97.8167,81.97,44,0,5.14,clear sky
87,Lasa,IT,46.6166,10.7002,45.48,77,4,2.06,clear sky
88,New Norfolk,AU,-42.7826,147.0587,58.91,73,85,2.06,overcast clouds
89,Oudtshoorn,ZA,-33.5907,22.2014,64.76,68,91,11.54,overcast clouds
90,Hambantota,LK,6.1241,81.1185,76.6,78,28,7.2,scattered clouds
91,Kollam,IN,8.8833,76.6,80.47,78,4,9.28,clear sky
92,Upernavik,GL,72.7868,-56.1549,4.03,97,100,7.25,overcast clouds
93,Quebo,GW,11.3333,-14.9333,96.51,20,0,6.08,clear sky
94,Vaini,TO,-21.2,-175.2,79.68,84,100,20.71,light rain
95,Ntoum,GA,0.3833,9.7833,80.87,76,91,5.44,light rain
96,Castro,BR,-24.7911,-50.0119,66.24,97,100,8.7,overcast clouds
97,Svetlogorsk,BY,52.6333,29.7333,6.21,99,20,2.89,few clouds
98,Gat,IL,31.61,34.7642,52.92,100,60,6.73,broken clouds
99,Pacific Grove,US,36.6177,-121.9166,56.57,69,0,1.99,clear sky
100,Norman Wells,CA,65.282,-126.8329,-30.96,68,40,9.22,scattered clouds
101,Pisco,PE,-13.7,-76.2167,76.01,73,0,8.05,clear sky
102,Salihorsk,BY,52.7876,27.5415,18.79,95,77,8.63,broken clouds
103,Sao Francisco De Paula,BR,-29.4481,-50.5836,72.68,97,100,2.39,moderate rain
104,Tarazona,ES,41.9,-1.7333,56.8,69,99,10.94,overcast clouds
105,Boma,GH,7.0805,-2.1697,95.88,17,6,2.06,clear sky
106,Vostok,RU,46.4856,135.8833,-12.28,99,100,3.53,overcast clouds
107,Torbay,CA,47.6666,-52.7314,33.58,94,100,10.36,fog
108,Tsiroanomandidy,MG,-18.7667,46.0333,69.24,92,89,3.2,light rain
109,Ilmajoki,FI,62.7333,22.5667,27.16,90,100,26.46,light snow
110,Simao,CN,22.7886,100.9748,50.49,66,0,3.29,clear sky
111,Bacolod,PH,10.6667,122.95,75.61,86,100,14.2,overcast clouds
112,Thompson,CA,55.7435,-97.8558,-27.24,68,0,3.44,clear sky
113,Leningradskiy,RU,69.3833,178.4167,-16.96,89,3,7.81,clear sky
114,El Sauzal,MX,31.9,-116.6833,54.41,37,2,9.33,clear sky
115,Nishihara,JP,26.1842,127.7558,60.08,80,100,10.36,overcast clouds
116,Knoxville,US,35.9606,-83.9207,39.67,94,100,0.0,mist
117,Nikolskoye,RU,59.7035,30.7861,19.29,95,81,7.78,broken clouds
118,Kavaratti,IN,10.5669,72.642,79.12,63,61,11.81,broken clouds
119,Ribeira Grande,PT,38.5167,-28.7,61.2,82,40,16.11,scattered clouds
120,Mayo,US,38.8876,-76.5119,51.94,95,100,5.99,light rain
121,Birjand,IR,32.8663,59.2211,45.07,49,0,4.61,clear sky
122,Dingle,PH,10.9995,122.6711,73.76,93,100,11.07,overcast clouds
123,Maceio,BR,-9.6658,-35.7353,89.04,48,40,14.97,scattered clouds
124,Touros,BR,-5.1989,-35.4608,88.7,54,66,16.53,broken clouds
125,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,24.16,snow
126,Mwinilunga,ZM,-11.7358,24.4293,62.87,98,78,5.39,moderate rain
127,Flin Flon,CA,54.7682,-101.865,-23.96,69,20,4.61,few clouds
